track_id,href,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,tempo_norm,loudness_norm,key_name
02H58MSfVESkKyx4diDgu7,https://open.spotify.com/track/02H58MSfVESkKyx4diDgu7,0.216,0.771,0.68,3.88e-05,6.0,0.287,-5.63,1,0.0557,88.011,0.336,0.2636863636363636,0.9061666666666668,F#
02U9EixxU2Znl6ilsr9mrv,https://open.spotify.com/track/02U9EixxU2Znl6ilsr9mrv,0.0004159999999999,0.827,0.761,0.882,10.0,0.0764,-5.425,0,0.154,108.01,0.378,0.3545909090909091,0.9095833333333334,A#
02wk5BttM0QL38ERjLPQJB,https://open.spotify.com/track/02wk5BttM0QL38ERjLPQJB,0.653,0.752,0.65,0.00136,5.0,0.105,-6.682999999999999,0,0.12,134.993,0.532,0.477240909090909,0.8886166666666667,F
040I32EKLxQrkuxQu1pqvT,https://open.spotify.com/track/040I32EKLxQrkuxQu1pqvT,0.64,0.557,0.577,0.0,1.0,0.104,-7.514,1,0.027,89.111,0.328,0.2686863636363636,0.8747666666666666,C#
04HGddGSz9qgxiFJkR7oMy,https://open.spotify.com/track/04HGddGSz9qgxiFJkR7oMy,0.0581,0.709,0.937,0.0,7.0,0.0291,-3.577,1,0.0632,109.925,0.697,0.3632954545454545,0.9403833333333332,G
04PSKcBV1ad3QEmmnZCn2N,https://open.spotify.com/track/04PSKcBV1ad3QEmmnZCn2N,0.0229,0.629,0.733,0.0,1.0,0.0793,-5.09,1,0.0548999999999999,151.088,0.538,0.5504,0.9151666666666666,C#
04WxWo7XeVyx22xEsrWRUb,https://open.spotify.com/track/04WxWo7XeVyx22xEsrWRUb,0.0229,0.624,0.65,1.21e-05,2.0,0.145,-5.819,1,0.0358,150.048,0.138,0.5456727272727273,0.9030166666666666,D
05STjz8kmPBUebu3uu5sO0,https://open.spotify.com/track/05STjz8kmPBUebu3uu5sO0,0.0133,0.643,0.841,1.39e-06,2.0,0.312,-3.834,0,0.0665,145.999,0.764,0.5272681818181818,0.9361,D
06Qo2fYR2KS1F7bL338iVT,https://open.spotify.com/track/06Qo2fYR2KS1F7bL338iVT,0.114,0.781,0.655,0.00249,2.0,0.103,-7.073,0,0.0457,113.031,0.493,0.3774136363636364,0.8821166666666667,D
06qMRF18gwbOYYbnP2du6i,https://open.spotify.com/track/06qMRF18gwbOYYbnP2du6i,0.212,0.733,0.598,3.71e-06,2.0,0.156,-8.228,1,0.0278,107.732,0.935,0.3533272727272727,0.8628666666666667,D
09keT5ocFhEd5W5HidiUNq,https://open.spotify.com/track/09keT5ocFhEd5W5HidiUNq,0.166,0.925,0.74,0.0,2.0,0.0521,-2.698,1,0.123,101.994,0.844,0.3272454545454545,0.9550333333333332,D
0AS63m1wHv9n4VVRizK6Hc,https://open.spotify.com/track/0AS63m1wHv9n4VVRizK6Hc,0.126,0.554,0.662,0.0,11.0,0.111,-4.957,0,0.0821,148.122,0.338,0.5369181818181818,0.9173833333333332,B
0ATIeBo4fQnecpNzm3CUFm,https://open.spotify.com/track/0ATIeBo4fQnecpNzm3CUFm,0.169,0.92,0.427,0.285,8.0,0.107,-8.419,1,0.057,106.976,0.917,0.3498909090909091,0.8596833333333334,G#
0ApadYqa3GRQkJJ3E7pQDJ,https://open.spotify.com/track/0ApadYqa3GRQkJJ3E7pQDJ,0.186,0.57,0.635,0.0,1.0,0.0874,-6.641,1,0.121,84.856,0.364,0.2493454545454545,0.8893166666666666,C#
